$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
@2026-04-24 21:58:00,2876.330078(GOOD),288.248901(GOOD),60.245892(GOOD)
@2026-04-24 21:59:00,2870.489014(GOOD),287.845612(GOOD),60.278389(GOOD)
@2026-04-24 22:00:00,2887.177979(GOOD),288.786682(GOOD),60.252396(GOOD)
@2026-04-24 22:01:00,2932.237793(GOOD),282.871094(GOOD),60.265400(GOOD)
@2026-04-24 22:02:00,2853.799805(GOOD),281.526672(GOOD),60.245899(GOOD)
@2026-04-24 22:03:00,2946.423340(GOOD),288.248871(GOOD),60.220016(GOOD)
@2026-04-24 22:04:00,2901.363281(GOOD),286.904419(GOOD),60.155109(GOOD)
@2026-04-24 22:05:00,2904.701416(GOOD),286.501129(GOOD),60.044804(GOOD)
@2026-04-24 22:06:00,2893.018799(GOOD),286.904419(GOOD),60.096710(GOOD)
@2026-04-24 22:07:00,2941.416748(GOOD),287.307800(GOOD),60.232914(GOOD)
@2026-04-24 22:08:00,2913.045410(GOOD),284.215576(GOOD),60.090225(GOOD)
@2026-04-24 22:09:00,2893.018799(GOOD),287.845581(GOOD),60.187523(GOOD)
@2026-04-24 22:10:00,2881.336670(GOOD),286.904358(GOOD),60.148624(GOOD)
@2026-04-24 22:11:00,2870.489014(GOOD),287.845612(GOOD),60.265415(GOOD)
@2026-04-24 22:12:00,2901.363281(GOOD),286.501099(GOOD),60.232929(GOOD)
@2026-04-24 22:13:00,2827.932129(GOOD),285.963379(GOOD),60.122631(GOOD)
@2026-04-24 22:14:00,2915.549072(GOOD),285.963257(GOOD),60.057735(GOOD)
@2026-04-24 22:15:00,2901.363281(GOOD),285.560028(GOOD),60.200485(GOOD)
@2026-04-24 22:16:00,2890.515625(GOOD),285.963440(GOOD),60.200485(GOOD)
@2026-04-24 22:17:00,2895.522461(GOOD),285.963562(GOOD),60.129097(GOOD)
@2026-04-24 22:18:00,2836.276611(GOOD),285.963562(GOOD),60.135609(GOOD)
@2026-04-24 22:19:00,2921.390137(GOOD),285.963562(GOOD),60.239414(GOOD)
@2026-04-24 22:20:00,2938.079102(GOOD),285.963593(GOOD),60.129131(GOOD)
@2026-04-24 22:21:00,2910.542480(GOOD),285.963593(GOOD),60.064220(GOOD)
@2026-04-24 22:22:00,2839.614502(GOOD),285.560150(GOOD),60.096718(GOOD)
@2026-04-24 22:23:00,2895.522461(GOOD),285.156860(GOOD),60.129116(GOOD)
@2026-04-24 22:24:00,2862.144531(GOOD),285.560150(GOOD),60.187519(GOOD)
@2026-04-24 22:25:00,2867.151123(GOOD),285.560150(GOOD),60.213528(GOOD)
@2026-04-24 22:26:00,2955.602539(GOOD),285.963562(GOOD),60.148624(GOOD)
@2026-04-24 22:27:00,2923.893311(GOOD),285.963562(GOOD),60.057705(GOOD)
@2026-04-24 22:28:00,2913.045410(GOOD),285.963562(GOOD),60.129101(GOOD)
@2026-04-24 22:29:00,2890.515625(GOOD),286.501129(GOOD),60.207001(GOOD)
@2026-04-24 22:30:00,2972.291016(GOOD),283.677795(GOOD),60.064224(GOOD)
@2026-04-24 22:31:00,2929.734375(GOOD),287.442322(GOOD),60.051224(GOOD)
@2026-04-24 22:32:00,2893.018799(GOOD),284.215576(GOOD),60.142113(GOOD)
@2026-04-24 22:33:00,2862.144531(GOOD),281.526703(GOOD),60.207020(GOOD)
@2026-04-24 22:34:00,2943.919922(GOOD),286.501129(GOOD),60.018818(GOOD)
@2026-04-24 22:35:00,2819.587891(GOOD),284.618866(GOOD),60.161621(GOOD)
@2026-04-24 22:36:00,2867.985596(GOOD),285.156494(GOOD),60.051201(GOOD)
@2026-04-24 22:37:00,2929.734375(GOOD),285.021973(GOOD),60.194012(GOOD)
@2026-04-24 22:38:00,2844.621094(GOOD),285.559631(GOOD),60.012299(GOOD)
@2026-04-24 22:39:00,2923.893311(GOOD),285.156158(GOOD),60.090206(GOOD)
@2026-04-24 22:40:00,2913.045410(GOOD),285.156158(GOOD),59.999313(GOOD)
@2026-04-24 22:41:00,2932.237793(GOOD),285.155975(GOOD),60.109600(GOOD)
@2026-04-24 22:42:00,2915.549072(GOOD),284.214813(GOOD),60.038311(GOOD)
@2026-04-24 22:43:00,2958.105713(GOOD),281.525909(GOOD),60.057713(GOOD)
@2026-04-24 22:44:00,2907.204346(GOOD),283.273590(GOOD),60.148598(GOOD)
@2026-04-24 22:45:00,2867.151123(GOOD),283.274445(GOOD),60.103157(GOOD)
@2026-04-24 22:46:00,2966.450195(GOOD),283.274445(GOOD),60.258858(GOOD)
@2026-04-24 22:47:00,2876.330078(GOOD),281.526886(GOOD),60.064152(GOOD)
@2026-04-24 22:48:00,2867.985596(GOOD),283.274597(GOOD),60.096546(GOOD)
@2026-04-24 22:49:00,2862.144531(GOOD),283.274597(GOOD),60.115948(GOOD)
@2026-04-24 22:50:00,2909.708008(GOOD),283.678040(GOOD),60.155056(GOOD)
@2026-04-24 22:51:00,2904.701416(GOOD),283.274628(GOOD),60.109566(GOOD)
@2026-04-24 22:52:00,2893.018799(GOOD),283.678040(GOOD),60.077156(GOOD)
@2026-04-24 22:53:00,2966.450195(GOOD),283.678040(GOOD),60.064163(GOOD)
@2026-04-24 22:54:00,2889.681152(GOOD),283.678040(GOOD),60.012257(GOOD)
@2026-04-24 22:55:00,2923.893311(GOOD),283.678040(GOOD),60.103161(GOOD)
@2026-04-24 22:56:00,2859.641113(GOOD),283.678040(GOOD),60.193970(GOOD)
@2026-04-24 22:57:00,2858.806641(GOOD),283.678040(GOOD),59.986374(GOOD)
@2026-04-24 22:58:00,2881.336670(GOOD),283.678040(GOOD),60.064190(GOOD)
@2026-04-24 22:59:00,2974.794434(GOOD),284.215942(GOOD),60.155075(GOOD)
@2026-04-24 23:00:00,2921.390137(GOOD),284.618896(GOOD),59.999336(GOOD)
@2026-04-24 23:01:00,2844.621094(GOOD),284.618866(GOOD),60.012337(GOOD)
@2026-04-24 23:02:00,2907.204346(GOOD),284.618683(GOOD),60.090225(GOOD)
@2026-04-24 23:03:00,2881.336670(GOOD),279.106354(GOOD),60.070744(GOOD)
@2026-04-24 23:04:00,2842.117676(GOOD),284.618530(GOOD),60.129147(GOOD)
@2026-04-24 23:05:00,2913.045410(GOOD),284.215210(GOOD),60.077248(GOOD)
@2026-04-24 23:06:00,2938.079102(GOOD),280.988281(GOOD),60.109764(GOOD)
@2026-04-24 23:07:00,2876.330078(GOOD),280.988373(GOOD),60.012455(GOOD)
@2026-04-24 23:08:00,2898.860107(GOOD),283.811798(GOOD),60.051357(GOOD)
@2026-04-24 23:09:00,2918.052246(GOOD),283.677399(GOOD),60.031845(GOOD)
@2026-04-24 23:10:00,2895.522461(GOOD),283.677399(GOOD),59.973442(GOOD)
@2026-04-24 23:11:00,2913.045410(GOOD),284.215179(GOOD),59.940937(GOOD)
@2026-04-24 23:12:00,2932.237793(GOOD),281.929474(GOOD),60.200539(GOOD)
@2026-04-24 23:13:00,2870.489014(GOOD),285.156158(GOOD),60.012341(GOOD)
@2026-04-24 23:14:00,2882.171143(GOOD),280.047424(GOOD),60.025341(GOOD)
@2026-04-24 23:15:00,2867.985596(GOOD),280.182220(GOOD),60.038269(GOOD)
@2026-04-24 23:16:00,2876.330078(GOOD),277.762207(GOOD),59.966881(GOOD)
@2026-04-24 23:17:00,2887.177979(GOOD),284.215637(GOOD),59.947388(GOOD)
@2026-04-24 23:18:00,2797.057617(GOOD),284.215637(GOOD),59.934490(GOOD)
@2026-04-24 23:19:00,2825.429199(GOOD),284.215637(GOOD),59.882492(GOOD)
