时间戳,自垃圾池渗滤液进水流量_平均值,自垃圾池渗滤液进水流量_变化值,自垃圾池渗滤液进水流量_变化率,厌氧进水泵出口1流量_平均值,厌氧进水泵出口1流量_变化值,厌氧进水泵出口1流量_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,调节池PH值_实时值,调节池PH值_HRT平均值,调节池COD_实时值,调节池COD_HRT平均值,调节池氨氮_实时值,调节池氨氮_HRT平均值,调节池COD_输出_t+120min,调节池氨氮_输出_t+120min
2026-05-11 00:00:00,21.299500528301888,56.355556,0.0,3.906935669811322,-0.04999999999999982,-0.012717850418747898,20.141226415094348,0.010000000000001563,0.0004972650422676063,86.32641509433967,-1.0999999999999943,-0.012643678160919474,5.727692307692307,5.784228636675458,36465.38461538462,38963.98828075925,1925.076923076923,1517.5186320113396,36090.0,1982.0
2026-05-11 02:00:00,27.235059547169815,58.90741,0.0,4.018785424528302,-0.012963000000000058,-0.0032603725522054633,19.918490566037725,-0.6900000000000013,-0.03432835820895529,86.57075471698116,2.5999999999999943,0.030267753201396904,5.72,5.782741200109103,36090.0,38947.94785570792,1982.0,1526.1778495930196,36090.0,1982.0
2026-05-11 04:00:00,11.860647867924527,1.7555580000000006,0.03162956703787316,4.034238679245284,-0.057406999999999986,-0.01427903401925693,18.93424528301887,-0.34999999999999787,-0.017994858611825083,90.33584905660378,1.2999999999999972,0.014772727272727241,5.72,5.782700320724492,36090.0,38936.31603169799,1982.0,1526.8804820863263,36090.0,1982.0
2026-05-11 06:00:00,4.757308849056604,-3.455551,-0.06090865810274136,3.991286811320753,-0.08148200000000028,-0.020174359830141476,18.784528301886787,-0.8200000000000003,-0.04253112033195022,90.66886792452836,3.5,0.039503386004514675,5.72,5.782581054914093,36090.0,38921.82102984648,1982.0,1528.1232285250865,36090.0,1982.0
2026-05-11 08:00:00,0.0,0.0,0.0,4.020383018867923,-0.025926000000000116,-0.006529870012114769,19.2511320754717,2.4800000000000004,0.13441734417344176,90.14150943396223,-6.3999999999999915,-0.06933911159263263,5.72,5.782953551916562,36090.0,38908.16939890371,1982.0,1526.6883127014366,36090.0,1982.0
2026-05-11 10:00:00,0.0,0.0,0.0,4.086517641509435,0.03703700000000065,0.009099170567007443,22.92650943396226,1.9400000000000013,0.08854404381560937,79.32075471698116,-4.099999999999994,-0.0503067484662576,5.72,5.781288560635641,36090.0,38887.06243558914,1982.0,1536.5120405350692,36090.0,1982.0
2026-05-11 12:00:00,0.0,0.0,0.0,4.150302311320752,-0.03703600000000051,-0.008853227797070066,26.58169811320755,4.41,0.18073770491803282,70.87358490566038,-9.200000000000003,-0.12073490813648297,5.72,5.778816330195356,36090.0,38843.26738447735,1982.0,1551.615737998087,36090.0,1982.0
2026-05-11 14:00:00,0.0,0.0,0.0,4.226573235849058,0.13888799999999968,0.033112366475183175,28.96688679245284,2.1499999999999986,0.07986627043090633,65.37358490566038,-4.200000000000003,-0.060171919770773685,5.72,5.777797319555841,36090.0,38812.60248099778,1982.0,1558.3649275483092,36090.0,1982.0
2026-05-11 16:00:00,18.560272905660376,0.0,0.0,4.331624801886793,0.0999989999999995,0.023621807303652275,28.666132075471705,1.2799999999999976,0.0442600276625172,64.65094339622644,-4.199999999999996,-0.06431852986217451,5.72,5.776301519009805,36090.0,38767.35492327251,1982.0,1568.281773458653,36090.0,1982.0
2026-05-11 18:00:00,31.486785839622648,-63.425926,-1.0,3.751729905660377,-1.4351859999999999,-0.32645337655758927,28.903396226415094,-1.5500000000000007,-0.05398815743643332,64.77924528301887,6.0,0.09230769230769231,5.72,5.774485165134447,36090.0,38711.80884074832,1982.0,1580.3488109927252,36090.0,1982.0
2026-05-11 20:00:00,0.0,0.0,0.0,2.9466898584905663,-0.04444500000000007,-0.014760332647982776,26.123396226415107,-0.8699999999999974,-0.03255988023952086,74.04339622641507,0.7999999999999972,0.01098901098901095,5.72,5.791457502459824,36090.0,38606.97365501062,1982.0,1493.495266778731,36090.0,1982.0
2026-05-11 22:00:00,26.98381841509433,0.0,0.0,2.9086898679245285,-0.03148200000000001,-0.010698727278967906,24.897264150943396,-1.5199999999999996,-0.059467918622848184,76.72830188679244,4.0,0.05235602094240837,5.72,5.791581133494473,36090.0,38576.58357312649,1982.0,1494.092693606896,36090.0,1982.0
2026-05-12 00:00:00,12.56193191509434,0.0,0.0,2.89642353773585,0.03703700000000021,0.012698398548754524,24.01254716981132,-0.5100000000000016,-0.020944558521560637,78.00283018867925,6.200000000000003,0.08378378378378382,5.72,5.792047977482373,36090.0,38528.88225934765,1982.0,1493.564518695189,36280.0,1984.571428571429
2026-05-12 02:00:00,1.4907203207547168,62.253704,0.0,2.867410132075473,0.018518999999999952,0.006502119974102452,23.477735849056593,-0.5300000000000011,-0.022297013041649185,81.99622641509433,3.9000000000000057,0.04905660377358498,5.742857142857143,5.79290240489156,36280.0,38454.47393655125,1984.571428571429,1492.066369250369,36280.0,1984.571428571429
